Price,Close,High,Low,Open,Volume
Ticker,ES=F,ES=F,ES=F,ES=F,ES=F
Date,,,,,
2023-08-28,4442.25,4449.5,4414.5,4418.0,1266414
2023-08-29,4506.75,4509.5,4433.5,4444.0,1444714
2023-08-30,4524.25,4530.75,4496.25,4508.75,1397669
2023-08-31,4516.0,4541.25,4512.75,4527.0,1395751
2023-09-01,4521.5,4547.75,4507.25,4516.75,1416762
2023-09-05,4502.5,4531.25,4499.25,4521.25,1391805
2023-09-06,4471.5,4503.75,4447.0,4500.0,1600128
2023-09-07,4456.25,4471.75,4434.25,4469.5,1602226
2023-09-08,4461.75,4477.5,4443.0,4458.25,1686158
2023-09-11,4490.25,4493.5,4459.25,4463.5,1714266
2023-09-12,4465.0,4491.0,4458.75,4487.75,1153961
2023-09-13,4468.75,4481.0,4446.75,4464.5,690872
2023-09-14,4506.0,4513.0,4470.25,4471.75,454906
2023-09-15,4491.72021484375,4517.75,4480.0,4508.0,1825966
2023-09-18,4501.5,4514.5,4487.0,4499.5,1155158
2023-09-19,4490.0,4509.5,4462.25,4503.25,1422950
2023-09-20,4447.0,4508.0,4443.25,4491.25,1482206
2023-09-21,4372.0,4447.0,4366.5,4445.0,1998638
2023-09-22,4361.0,4399.0,4357.25,4370.25,1736576
2023-09-25,4378.75,4383.5,4338.25,4365.0,1561595
2023-09-26,4314.75,4382.0,4305.5,4382.0,1758048
2023-09-27,4313.5,4336.5,4277.0,4320.25,1965913
2023-09-28,4337.5,4355.75,4301.0,4323.25,2012088
2023-09-29,4325.5,4371.25,4311.0,4342.0,2106053
2023-10-02,4324.25,4355.5,4295.5,4349.0,1950463
2023-10-03,4264.75,4335.75,4251.25,4326.0,2256808
2023-10-04,4297.75,4304.0,4235.5,4262.75,2168271
2023-10-05,4290.75,4302.0,4258.0,4291.5,1673477
2023-10-06,4341.5,4358.5,4242.25,4287.5,2216456
2023-10-09,4368.75,4375.75,4299.5,4315.0,1485254
2023-10-10,4391.5,4419.0,4366.25,4368.75,1610271
2023-10-11,4409.75,4419.75,4377.25,4392.0,1489644
2023-10-12,4380.5,4430.5,4355.5,4417.75,1881573
2023-10-13,4357.25,4407.75,4340.75,4380.75,2159101
2023-10-16,4401.0,4414.25,4354.5,4356.75,1668948
2023-10-17,4401.75,4423.25,4365.75,4406.25,1879736
2023-10-18,4342.25,4399.25,4330.75,4398.0,2271572
2023-10-19,4303.0,4366.5,4292.75,4346.5,2741942
2023-10-20,4248.5,4304.25,4243.5,4295.0,2328806
2023-10-23,4241.75,4280.75,4213.25,4256.25,1963670
2023-10-24,4271.25,4290.5,4242.0,4250.25,1807092
2023-10-25,4209.75,4273.5,4203.75,4269.5,1981633
2023-10-26,4156.5,4205.0,4146.25,4202.0,2419407
2023-10-27,4137.75,4185.0,4122.25,4167.0,2195767
2023-10-30,4185.75,4197.5,4143.5,4148.0,1904610
2023-10-31,4212.25,4215.0,4166.75,4184.25,1836212
2023-11-01,4256.0,4264.75,4191.25,4205.0,2027080
2023-11-02,4335.75,4339.75,4257.75,4258.5,1819596
2023-11-03,4376.0,4391.75,4325.5,4327.5,1803552
2023-11-06,4384.25,4389.5,4364.25,4379.25,1348878
2023-11-07,4396.0,4403.25,4366.0,4380.0,1371257
2023-11-08,4399.5,4407.75,4375.0,4397.5,1390288
2023-11-09,4362.25,4413.0,4357.75,4393.25,1972630
2023-11-10,4430.5,4435.5,4354.25,4364.5,1752002
2023-11-13,4425.25,4436.75,4407.25,4425.75,1276182
2023-11-14,4511.0,4524.25,4420.25,4427.25,1901847
2023-11-15,4519.25,4541.25,4510.75,4515.5,1573452
2023-11-16,4523.25,4529.5,4501.75,4514.25,1491734
2023-11-17,4527.5,4539.5,4512.75,4527.75,1331912
2023-11-20,4562.25,4571.0,4520.0,4526.75,1220790
2023-11-21,4551.25,4567.0,4536.75,4561.75,1101669
2023-11-22,4567.25,4580.5,4543.0,4547.75,1403636
2023-11-23,4569.5,4572.75,4562.0,4564.0,1403636
2023-11-24,4568.25,4574.0,4562.0,4564.0,572702
2023-11-27,4561.0,4570.0,4552.0,4568.5,1124213
2023-11-28,4563.0,4577.25,4547.0,4561.5,1441119
2023-11-29,4559.25,4597.0,4555.5,4564.0,1592398
2023-11-30,4576.75,4579.5,4544.75,4562.25,2056268
2023-12-01,4600.75,4607.75,4562.5,4571.75,1914151
2023-12-04,4576.5,4604.5,4553.5,4603.25,1818991
2023-12-05,4575.0,4585.5,4555.5,4573.0,1890825
2023-12-06,4556.0,4598.5,4552.0,4573.25,1837961
2023-12-07,4589.5,4596.0,4548.75,4556.0,1832361
2023-12-08,4607.5,4613.75,4561.75,4586.5,2289425
2023-12-11,4626.0,4627.25,4599.5,4607.75,1663229
2023-12-12,4645.75,4649.75,4610.5,4625.0,1052077
2023-12-13,4708.25,4711.75,4645.0,4649.0,739684
2023-12-14,4721.75,4739.25,4694.25,4708.0,560819
2023-12-15,4694.27001953125,4736.5,4694.27001953125,4716.0,1801823
2023-12-18,4793.0,4802.25,4769.5,4770.5,1139029
2023-12-19,4820.25,4821.5,4787.75,4790.5,1122973
2023-12-20,4749.75,4830.75,4743.25,4818.5,1749145
2023-12-21,4796.75,4798.25,4751.0,4751.0,1687065
2023-12-22,4805.25,4821.75,4784.75,4795.75,1326697
2023-12-26,4825.0,4834.5,4800.25,4800.25,688201
2023-12-27,4833.5,4836.5,4816.5,4827.75,1042284
2023-12-28,4832.25,4841.5,4828.0,4834.5,927035
2023-12-29,4820.0,4841.0,4796.75,4834.75,1281733
2024-01-02,4787.25,4828.0,4765.5,4818.0,1678142
2024-01-03,4746.5,4790.75,4741.0,4790.75,1707174
2024-01-04,4729.5,4766.5,4727.0,4750.0,1395366
2024-01-05,4734.75,4760.25,4702.0,4732.75,1767245
2024-01-08,4801.25,4803.25,4715.25,4735.75,1417728
2024-01-09,4792.75,4804.0,4767.5,4797.75,1369103
2024-01-10,4820.25,4828.5,4786.0,4790.75,1377780
