Price,Close,High,Low,Open,Volume
Ticker,NQ=F,NQ=F,NQ=F,NQ=F,NQ=F
Date,,,,,
2023-08-28,15092.5,15126.5,14973.5,14991.0,586342
2023-08-29,15415.75,15430.5,15049.75,15098.75,616223
2023-08-30,15501.25,15522.75,15361.5,15427.5,590194
2023-08-31,15538.5,15606.75,15460.0,15513.75,584743
2023-09-01,15516.25,15661.25,15454.0,15534.0,572689
2023-09-05,15534.5,15586.75,15418.25,15517.0,604891
2023-09-06,15399.5,15533.0,15310.5,15511.25,596503
2023-09-07,15282.25,15395.75,15157.5,15385.0,644887
2023-09-08,15297.5,15390.75,15223.0,15286.25,598477
2023-09-11,15475.75,15497.5,15298.0,15308.0,411385
2023-09-12,15304.75,15480.75,15288.75,15466.5,253049
2023-09-13,15356.25,15424.25,15212.75,15308.5,190166
2023-09-14,15478.0,15517.75,15337.25,15372.75,110435
2023-09-15,15435.2001953125,15524.0,15401.25,15480.25,708762
2023-09-18,15414.5,15461.0,15330.5,15382.25,509746
2023-09-19,15375.25,15442.25,15248.5,15424.25,552065
2023-09-20,15152.0,15436.25,15127.0,15375.25,605256
2023-09-21,14862.75,15149.0,14841.0,15133.25,702742
2023-09-22,14869.5,15027.5,14836.25,14854.5,624056
2023-09-25,14935.25,14955.75,14782.25,14880.25,568859
2023-09-26,14715.0,14949.0,14666.25,14949.0,667617
2023-09-27,14739.0,14821.5,14586.0,14725.25,716200
2023-09-28,14859.75,14947.5,14658.0,14772.5,734472
2023-09-29,14866.5,15060.75,14811.0,14876.5,745541
2023-10-02,14984.75,15046.0,14826.0,14965.0,762896
2023-10-03,14714.5,15031.0,14651.5,14989.5,762964
2023-10-04,14923.75,14956.0,14589.0,14713.75,803257
2023-10-05,14861.75,14958.75,14716.25,14903.0,676461
2023-10-06,15112.0,15160.25,14660.0,14853.75,840602
2023-10-09,15187.0,15212.75,14949.5,15040.25,617072
2023-10-10,15270.75,15383.5,15171.75,15196.5,648613
2023-10-11,15380.0,15416.75,15253.0,15282.25,614965
2023-10-12,15315.0,15468.75,15216.25,15407.5,747494
2023-10-13,15120.25,15366.75,15062.25,15324.0,777005
2023-10-16,15289.5,15336.75,15083.0,15120.0,641294
2023-10-17,15240.75,15309.25,15050.25,15305.75,781599
2023-10-18,15025.25,15238.25,14979.25,15236.5,853599
2023-10-19,14890.0,15138.25,14839.5,15045.0,1019700
2023-10-20,14664.0,14887.5,14645.0,14850.0,846675
2023-10-23,14712.0,14853.75,14514.25,14680.0,765733
2023-10-24,14846.5,14948.75,14706.0,14744.0,703058
2023-10-25,14478.25,14855.0,14444.0,14828.0,820677
2023-10-26,14194.0,14459.0,14140.25,14425.0,987597
2023-10-27,14265.25,14407.75,14209.75,14248.25,782097
2023-10-30,14416.5,14476.5,14303.0,14336.0,704860
2023-10-31,14490.25,14503.75,14311.25,14410.5,712605
2023-11-01,14744.5,14762.0,14410.75,14460.0,741817
2023-11-02,14998.0,15017.25,14760.0,14761.25,652481
2023-11-03,15178.75,15228.5,14925.5,14928.0,633835
2023-11-06,15232.5,15257.5,15138.0,15187.0,496129
2023-11-07,15374.25,15412.25,15176.0,15215.0,585124
2023-11-08,15386.5,15417.5,15286.75,15373.0,547842
2023-11-09,15256.0,15453.75,15236.75,15356.25,710427
2023-11-10,15596.25,15612.75,15207.25,15254.75,679633
2023-11-13,15547.0,15601.25,15465.25,15586.25,532937
2023-11-14,15879.75,15918.75,15552.0,15558.0,656099
2023-11-15,15889.25,16049.5,15832.25,15895.0,685072
2023-11-16,15897.5,15906.75,15796.75,15846.75,634456
2023-11-17,15895.75,15940.0,15825.0,15897.75,562424
2023-11-20,16086.5,16116.75,15837.25,15895.0,559493
2023-11-21,15990.25,16122.5,15912.0,16087.5,575452
2023-11-22,16049.25,16173.5,15942.75,15967.25,624552
2023-11-23,16062.5,16086.5,16034.5,16036.75,624552
2023-11-24,16021.0,16086.5,15981.75,16036.75,296604
2023-11-27,16008.75,16089.25,15938.75,16008.0,502555
2023-11-28,16048.0,16071.5,15945.25,16005.25,598224
2023-11-29,16023.75,16208.5,16013.5,16055.5,634326
2023-11-30,15985.5,16098.5,15856.0,16040.25,694118
2023-12-01,16023.75,16050.0,15864.0,15955.0,621710
2023-12-04,15869.0,16026.0,15721.25,16022.0,721019
2023-12-05,15908.75,15961.0,15761.25,15863.25,683586
2023-12-06,15815.25,16037.75,15802.0,15897.0,675482
2023-12-07,16038.75,16066.0,15791.0,15814.5,632326
2023-12-08,16098.25,16118.75,15888.25,16017.5,588926
2023-12-11,16237.0,16248.0,16045.5,16093.0,394184
2023-12-12,16362.75,16389.5,16185.25,16240.0,253666
2023-12-13,16563.75,16593.0,16365.5,16383.0,155141
2023-12-14,16541.5,16674.5,16418.75,16561.5,131883
2023-12-15,16530.23046875,16612.5,16521.5,16532.5,668578
2023-12-18,16939.75,16974.0,16802.25,16820.25,463438
2023-12-19,17023.0,17029.5,16910.75,16917.0,496518
2023-12-20,16766.25,17073.5,16758.5,17024.0,654329
2023-12-21,16956.5,16970.25,16790.25,16790.25,639818
2023-12-22,16980.0,17041.5,16891.5,16956.0,486853
2023-12-26,17083.5,17111.25,16964.5,16964.5,292090
2023-12-27,17113.25,17133.0,17055.5,17090.25,424302
2023-12-28,17090.5,17165.25,17077.75,17127.0,357702
2023-12-29,17023.5,17131.0,16938.25,17090.25,470864
2024-01-02,16720.0,17038.5,16622.5,17019.0,652714
2024-01-03,16538.0,16737.25,16522.0,16736.75,677219
2024-01-04,16445.0,16587.25,16436.0,16545.25,559464
2024-01-05,16460.25,16577.25,16334.25,16455.0,627475
2024-01-08,16803.75,16811.25,16378.25,16470.0,549900
2024-01-09,16830.25,16868.5,16657.75,16788.0,605921
2024-01-10,16945.25,16983.0,16801.5,16829.5,550703
2024-01-11,16966.25,17057.0,16753.0,16955.0,756441
2024-01-12,16969.25,17042.5,16866.5,16957.75,593445
2024-01-16,16966.5,17033.75,16811.75,16961.75,816021
2024-01-17,16869.75,16982.0,16689.25,16978.0,722784
2024-01-18,17110.0,17125.75,16834.25,16854.5,852229
2024-01-19,17438.5,17471.25,17107.25,17116.0,758132
2024-01-22,17458.5,17585.0,17434.0,17466.0,637245
2024-01-23,17531.25,17558.25,17409.5,17461.0,508078
2024-01-24,17621.0,17793.5,17552.25,17554.0,721605
2024-01-25,17634.5,17752.0,17542.0,17614.75,710822
2024-01-26,17527.0,17632.0,17466.0,17571.25,631481
2024-01-29,17706.0,17716.25,17457.5,17502.0,568739
2024-01-30,17588.5,17735.75,17467.0,17711.75,554146
2024-01-31,17242.25,17484.0,17221.5,17415.5,816119
2024-02-01,17436.75,17646.75,17262.75,17273.25,705238
2024-02-02,17732.75,17775.5,17465.5,17588.0,761167
2024-02-05,17700.0,17745.5,17554.25,17696.0,621645
2024-02-06,17660.0,17769.0,17560.75,17698.5,623168
2024-02-07,17841.75,17875.5,17629.75,17645.75,613340
2024-02-08,17868.25,17896.5,17792.25,17856.25,471370
